trade_no,lifecycle,trigger,direction,trigger_time_utc,entry_time_utc,entry_price,zone_top,zone_bottom,swing_price,atr14,buffer,stop_loss,stop_distance_usd,tp1,tp2,outcome,result_r,exit_time_utc,duration_hours
141,MAX_4_M15_CANDLES,IFVG,BUY,2026-01-16 07:45:00,2026-01-16 08:00:00,4607.245000,4603.285000,4599.015000,4593.865000,7.320856,0.732086,4593.132914,14.112086,4621.357086,4635.469171,TIME_EXIT_BEFORE_TP1,-0.301869,2026-01-16 08:45:00,0.750000
142,MAX_4_M15_CANDLES,FVG,BUY,2026-01-16 10:30:00,2026-01-16 10:45:00,4607.255000,4606.675000,4603.115000,4598.615000,6.102259,0.610226,4598.004774,9.250226,4616.505226,4625.755452,TIME_EXIT_BEFORE_TP1,0.862682,2026-01-16 11:30:00,0.750000
143,MAX_4_M15_CANDLES,IFVG,SELL,2026-01-16 12:15:00,2026-01-16 12:30:00,4606.148000,4612.235000,4611.335000,4615.735000,6.184488,0.618449,4616.353449,10.205449,4595.942551,4585.737102,TP2,2.000000,2026-01-16 13:15:00,0.750000
144,MAX_4_M15_CANDLES,IFVG,SELL,2026-01-16 14:15:00,2026-01-16 14:30:00,4598.619000,4609.475000,4606.515000,4615.965000,8.120328,0.812033,4616.777033,18.158033,4580.460967,4562.302934,SL,-1.000000,2026-01-16 15:00:00,0.500000
145,MAX_4_M15_CANDLES,FVG,SELL,2026-01-16 15:15:00,2026-01-16 15:30:00,4564.825000,4617.338000,4616.845000,4615.965000,12.025094,1.202509,4618.540509,53.715509,4511.109491,4457.393981,TIME_EXIT_BEFORE_TP1,-0.493526,2026-01-16 16:15:00,0.750000
146,MAX_4_M15_CANDLES,IFVG,SELL,2026-01-16 15:30:00,2026-01-16 15:45:00,4555.315000,4587.785000,4565.705000,4615.965000,13.565444,1.356544,4617.321544,62.006544,4493.308456,4431.301911,TIME_EXIT_BEFORE_TP1,-0.656221,2026-01-16 16:30:00,0.750000
147,MAX_4_M15_CANDLES,FVG,BUY,2026-01-16 15:45:00,2026-01-16 16:00:00,4570.835000,4561.848000,4553.975000,4582.105000,14.036484,1.403648,4552.571352,18.263648,4589.098648,4607.362297,TIME_EXIT_AFTER_TP1,1.105475,2026-01-16 16:45:00,0.750000
148,MAX_4_M15_CANDLES,FVG,BUY,2026-01-16 18:00:00,2026-01-16 18:15:00,4584.225000,4584.098000,4575.305000,4536.515000,12.851119,1.285112,4535.229888,48.995112,4633.220112,4682.215224,TIME_EXIT_BEFORE_TP1,-0.009185,2026-01-16 19:00:00,0.750000
149,MAX_4_M15_CANDLES,IFVG,BUY,2026-01-16 19:45:00,2026-01-16 20:00:00,4590.285000,4588.305000,4588.065000,4576.395000,10.750416,1.075042,4575.319958,14.965042,4605.250042,4620.215083,TIME_EXIT_BEFORE_TP1,-0.574673,2026-01-16 20:45:00,0.750000
150,MAX_4_M15_CANDLES,IFVG,SELL,2026-01-16 20:45:00,2026-01-16 21:00:00,4581.598000,4588.175000,4585.995000,4595.865000,9.787198,0.978720,4596.843720,15.245720,4566.352280,4551.106560,SL,-1.000000,2026-01-16 21:15:00,0.250000
151,MAX_4_M15_CANDLES,FVG,BUY,2026-01-19 02:00:00,2026-01-19 02:15:00,4658.885000,4653.375000,4596.648000,4580.335000,13.356604,1.335660,4578.999340,79.885660,4738.770660,4818.656321,TIME_EXIT_BEFORE_TP1,0.122425,2026-01-19 03:00:00,0.750000
152,MAX_4_M15_CANDLES,FVG,SELL,2026-01-19 03:15:00,2026-01-19 03:30:00,4664.448000,4671.755000,4669.475000,4690.265000,11.421576,1.142158,4691.407158,26.959158,4637.488842,4610.529685,TIME_EXIT_BEFORE_TP1,0.080603,2026-01-19 04:15:00,0.750000
153,MAX_4_M15_CANDLES,IFVG,BUY,2026-01-19 07:45:00,2026-01-19 08:00:00,4664.955000,4663.635000,4663.198000,4652.845000,7.469215,0.746922,4652.098078,12.856922,4677.811922,4690.668843,TIME_EXIT_BEFORE_TP1,-0.130669,2026-01-19 08:45:00,0.750000
154,MAX_4_M15_CANDLES,FVG,SELL,2026-01-19 08:30:00,2026-01-19 08:45:00,4667.585000,4672.205000,4669.945000,4678.855000,7.181507,0.718151,4679.573151,11.988151,4655.596849,4643.608699,TIME_EXIT_BEFORE_TP1,-0.148480,2026-01-19 09:30:00,0.750000
