trade_no,trigger,direction,trigger_time_utc,entry_time_utc,entry_price,zone_top,zone_bottom,swing_used,swing_price,structural_reference,atr14,buffer,stop_loss,stop_distance_usd,tp1,tp2,outcome,result_r,exit_time_utc,duration_hours
1,FVG,BUY,2026-01-02 04:30:00,2026-01-02 04:45:00,4375.105000,4371.655000,4370.665000,False,,4370.665000,7.030652,0.703065,4369.961935,5.143065,4380.248065,4385.391130,TP1_BE,0.000000,2026-01-02 06:00:00,1.250000
2,FVG,BUY,2026-01-02 09:00:00,2026-01-02 09:15:00,4389.648000,4386.335000,4385.398000,True,4371.635000,4371.635000,6.383976,0.638398,4370.996602,18.651398,4408.299398,4426.950795,SL,-1.000000,2026-01-02 13:30:00,4.250000
3,FVG,SELL,2026-01-02 13:45:00,2026-01-02 14:00:00,4365.905000,4392.218000,4377.035000,True,4398.998000,4398.998000,8.845546,0.884555,4399.882555,33.977555,4331.927445,4297.949891,TP1_BE,0.000000,2026-01-04 23:00:00,57.000000
4,FVG,BUY,2026-01-05 00:45:00,2026-01-05 01:00:00,4394.905000,4385.315000,4379.685000,True,4309.618000,4309.618000,10.347835,1.034783,4308.583217,86.321783,4481.226783,4567.548567,TP2,2.000000,2026-01-12 00:30:00,167.500000
5,FVG,SELL,2026-01-12 01:30:00,2026-01-12 01:45:00,4573.189000,4587.785000,4583.835000,True,4516.898000,4587.785000,11.423998,1.142400,4588.927400,15.738400,4557.450600,4541.712200,SL,-1.000000,2026-01-12 07:45:00,6.000000
6,FVG,BUY,2026-01-12 08:45:00,2026-01-12 09:00:00,4596.725000,4587.785000,4565.705000,True,4569.455000,4565.705000,8.059861,0.805986,4564.899014,31.825986,4628.550986,4660.376972,TP1_BE,0.000000,2026-01-12 20:30:00,11.500000
7,FVG,SELL,2026-01-12 20:30:00,2026-01-12 20:45:00,4592.635000,4609.075000,4604.295000,True,4618.695000,4618.695000,8.719110,0.871911,4619.566911,26.931911,4565.703089,4538.771178,SL,-1.000000,2026-01-13 13:30:00,16.750000
8,IFVG,BUY,2026-01-13 14:00:00,2026-01-13 14:15:00,4618.325000,4609.075000,4604.295000,True,4577.615000,4577.615000,8.678762,0.867876,4576.747124,41.577876,4659.902876,4701.480752,SL,-1.000000,2026-01-13 20:30:00,6.250000
9,IFVG,SELL,2026-01-13 21:00:00,2026-01-13 21:15:00,4583.215000,4590.405000,4586.095000,True,4634.285000,4634.285000,10.281126,1.028113,4635.313113,52.098113,4531.116887,4479.018775,SL,-1.000000,2026-01-14 05:00:00,7.750000
10,IFVG,BUY,2026-01-14 08:45:00,2026-01-14 09:00:00,4634.545000,4632.138000,4628.555000,True,4617.685000,4617.685000,7.581551,0.758155,4616.926845,17.618155,4652.163155,4669.781310,SL,-1.000000,2026-01-14 14:30:00,5.500000
11,FVG,SELL,2026-01-14 15:15:00,2026-01-14 15:30:00,4615.135000,4630.815000,4620.475000,True,4641.595000,4641.595000,9.867615,0.986761,4642.581761,27.446761,4587.688239,4560.241477,SL,-1.000000,2026-01-14 19:00:00,3.500000
12,FVG,BUY,2026-01-14 20:45:00,2026-01-14 21:00:00,4632.385000,4627.758000,4623.475000,True,4600.985000,4600.985000,8.938362,0.893836,4600.091164,32.293836,4664.678836,4696.972672,SL,-1.000000,2026-01-15 01:15:00,4.250000
13,IFVG,BUY,2026-01-15 01:30:00,2026-01-15 01:45:00,4602.305000,4589.995000,4588.899000,True,4602.575000,4588.899000,9.845136,0.984514,4587.914486,14.390514,4616.695514,4631.086027,SL,-1.000000,2026-01-15 03:15:00,1.500000
14,IFVG,SELL,2026-01-15 06:15:00,2026-01-15 06:30:00,4603.685000,4606.975000,4606.895000,True,4614.415000,4614.415000,10.079228,1.007923,4615.422923,11.737923,4591.947077,4580.209154,SL,-1.000000,2026-01-15 10:15:00,3.750000
15,FVG,SELL,2026-01-15 11:30:00,2026-01-15 11:45:00,4617.795000,4619.715000,4618.155000,True,4613.365000,4619.715000,6.396138,0.639614,4620.354614,2.559614,4615.235386,4612.675772,SL,-1.000000,2026-01-15 12:00:00,0.250000
16,IFVG,SELL,2026-01-15 14:30:00,2026-01-15 14:45:00,4602.445000,4607.735000,4605.265000,True,4622.755000,4622.755000,8.469179,0.846918,4623.601918,21.156918,4581.288082,4560.131164,SL,-1.000000,2026-01-15 16:15:00,1.500000
17,IFVG,SELL,2026-01-15 20:15:00,2026-01-15 20:30:00,4604.765000,4607.355000,4606.975000,True,4621.295000,4621.295000,6.913425,0.691342,4621.986342,17.221342,4587.543658,4570.322315,TP1_BE,0.000000,2026-01-16 14:00:00,17.500000
18,IFVG,SELL,2026-01-16 14:15:00,2026-01-16 14:30:00,4598.619000,4609.475000,4606.515000,True,4615.965000,4615.965000,8.120328,0.812033,4616.777033,18.158033,4580.460967,4562.302934,SL,-1.000000,2026-01-16 15:00:00,0.500000
19,FVG,SELL,2026-01-16 15:15:00,2026-01-16 15:30:00,4564.825000,4617.338000,4616.845000,True,4615.965000,4617.338000,12.025094,1.202509,4618.540509,53.715509,4511.109491,4457.393981,SL,-1.000000,2026-01-18 23:00:00,55.500000
20,FVG,BUY,2026-01-19 02:00:00,2026-01-19 02:15:00,4658.885000,4653.375000,4596.648000,True,4580.335000,4580.335000,13.356604,1.335660,4578.999340,79.885660,4738.770660,4818.656321,TP2,2.000000,2026-01-21 01:15:00,47.000000
21,FVG,BUY,2026-01-21 05:00:00,2026-01-21 05:15:00,4866.805000,4862.065000,4853.975000,True,4747.048000,4747.048000,11.586452,1.158645,4745.889355,120.915645,4987.720645,5108.636290,TP2,2.000000,2026-01-26 06:45:00,121.500000
