model,variant,htf_filter,buffer_atr,exit_logic,total_trade,resolved_trade,win_rate_positive_r,loss_rate_negative_r,target_hit_rate,net_r,max_drawdown_r,return_drawdown_ratio,TARGET,SL,BE,TIME_EXIT,OPEN_AT_END,time_exit_positive,time_exit_negative,average_sl_distance_usd,median_sl_distance_usd,maximum_sl_distance_usd,maximum_concurrent_positions,average_duration_hours,median_duration_hours
A_IFVG_SCALPER,A_IFVG__NO_HTF__BUF_0.05__TARGET_1_5R_NO_BE,False,0.050000000,TARGET_1_5R_NO_BE,131,131,0.496183206,0.503816794,0.190839695,6.302122890,8.523484796,0.739383367,25,36,0,70,0,40,30,23.211048622,12.339458452,267.525059098,2,0.524809160,0.750000000
A_IFVG_SCALPER,A_IFVG__NO_HTF__BUF_0.05__TARGET_2_0R_NO_BE,False,0.050000000,TARGET_2_0R_NO_BE,131,131,0.473282443,0.526717557,0.152671756,7.086767787,8.523484796,0.831440186,20,39,0,72,0,42,30,23.211048622,12.339458452,267.525059098,2,0.551526718,0.750000000
A_IFVG_SCALPER,A_IFVG__NO_HTF__BUF_0.05__TARGET_2_0R_BE_AT_1R,False,0.050000000,TARGET_2_0R_BE_AT_1R,131,131,0.458015267,0.465648855,0.152671756,13.351981112,7.553728322,1.767601447,20,33,10,68,0,40,28,23.211048622,12.339458452,267.525059098,2,0.540076336,0.750000000
A_IFVG_SCALPER,A_IFVG__NO_HTF__BUF_0.10__TARGET_1_5R_NO_BE,False,0.100000000,TARGET_1_5R_NO_BE,131,131,0.488549618,0.511450382,0.183206107,5.282497372,7.711845105,0.684984890,24,35,0,72,0,40,32,24.010875870,12.848916905,270.417118195,3,0.561068702,0.750000000
A_IFVG_SCALPER,A_IFVG__NO_HTF__BUF_0.10__TARGET_2_0R_NO_BE,False,0.100000000,TARGET_2_0R_NO_BE,131,131,0.473282443,0.526717557,0.145038168,6.888303937,7.711845105,0.893210878,19,37,0,75,0,43,32,24.010875870,12.848916905,270.417118195,3,0.587786260,0.750000000
A_IFVG_SCALPER,A_IFVG__NO_HTF__BUF_0.10__TARGET_2_0R_BE_AT_1R,False,0.100000000,TARGET_2_0R_BE_AT_1R,131,131,0.458015267,0.480916031,0.145038168,11.768567784,6.713602026,1.752943910,19,32,8,72,0,41,31,24.010875870,12.848916905,270.417118195,3,0.578244275,0.750000000
A_IFVG_SCALPER,A_IFVG__NO_HTF__BUF_0.15__TARGET_1_5R_NO_BE,False,0.150000000,TARGET_1_5R_NO_BE,131,131,0.488549618,0.511450382,0.167938931,3.623780482,9.766882532,0.371027344,22,35,0,74,0,42,32,24.810703118,13.339464261,273.309177293,3,0.580152672,0.750000000
A_IFVG_SCALPER,A_IFVG__NO_HTF__BUF_0.15__TARGET_2_0R_NO_BE,False,0.150000000,TARGET_2_0R_NO_BE,131,131,0.465648855,0.534351145,0.129770992,2.982991684,7.766882532,0.384065508,17,37,0,77,0,44,33,24.810703118,13.339464261,273.309177293,3,0.608778626,0.750000000
A_IFVG_SCALPER,A_IFVG__NO_HTF__BUF_0.15__TARGET_2_0R_BE_AT_1R,False,0.150000000,TARGET_2_0R_BE_AT_1R,131,131,0.450381679,0.480916031,0.129770992,8.207128256,6.958198112,1.179490455,17,32,9,73,0,42,31,24.810703118,13.339464261,273.309177293,3,0.599236641,0.750000000
A_IFVG_SCALPER,A_IFVG__HTF__BUF_0.05__TARGET_1_5R_NO_BE,True,0.050000000,TARGET_1_5R_NO_BE,76,76,0.486842105,0.513157895,0.210526316,4.530922237,5.287242434,0.856953751,16,21,0,39,0,21,18,24.684801729,12.975380573,160.071468809,2,0.509868421,0.750000000
A_IFVG_SCALPER,A_IFVG__HTF__BUF_0.05__TARGET_2_0R_NO_BE,True,0.050000000,TARGET_2_0R_NO_BE,76,76,0.473684211,0.526315789,0.171052632,6.815567134,4.994018992,1.364745938,13,22,0,41,0,23,18,24.684801729,12.975380573,160.071468809,2,0.532894737,0.750000000
A_IFVG_SCALPER,A_IFVG__HTF__BUF_0.05__TARGET_2_0R_BE_AT_1R,True,0.050000000,TARGET_2_0R_BE_AT_1R,76,76,0.460526316,0.486842105,0.171052632,8.787155650,4.994018992,1.759535890,13,20,4,39,0,22,17,24.684801729,12.975380573,160.071468809,2,0.526315789,0.750000000
A_IFVG_SCALPER,A_IFVG__HTF__BUF_0.10__TARGET_1_5R_NO_BE,True,0.100000000,TARGET_1_5R_NO_BE,76,76,0.486842105,0.513157895,0.210526316,5.224832017,4.458295090,1.171934991,16,20,0,40,0,21,19,25.544235038,13.463377046,162.745937618,2,0.532894737,0.750000000
A_IFVG_SCALPER,A_IFVG__HTF__BUF_0.10__TARGET_2_0R_NO_BE,True,0.100000000,TARGET_2_0R_NO_BE,76,76,0.473684211,0.526315789,0.157894737,5.830638581,4.188132643,1.392180974,12,21,0,43,0,24,19,25.544235038,13.463377046,162.745937618,2,0.559210526,0.750000000
A_IFVG_SCALPER,A_IFVG__HTF__BUF_0.10__TARGET_2_0R_BE_AT_1R,True,0.100000000,TARGET_2_0R_BE_AT_1R,76,76,0.460526316,0.500000000,0.157894737,7.425149837,4.188132643,1.772902262,12,19,3,42,0,23,19,25.544235038,13.463377046,162.745937618,2,0.559210526,0.750000000
A_IFVG_SCALPER,A_IFVG__HTF__BUF_0.15__TARGET_1_5R_NO_BE,True,0.150000000,TARGET_1_5R_NO_BE,76,76,0.500000000,0.500000000,0.197368421,6.147283886,4.408476007,1.394423805,15,19,0,42,0,23,19,26.403668346,14.030065569,165.420406428,2,0.549342105,0.750000000
A_IFVG_SCALPER,A_IFVG__HTF__BUF_0.15__TARGET_2_0R_NO_BE,True,0.150000000,TARGET_2_0R_NO_BE,76,76,0.460526316,0.539473684,0.131578947,2.006495087,5.878173719,0.341346681,10,21,0,45,0,25,20,26.403668346,14.030065569,165.420406428,2,0.585526316,0.750000000
A_IFVG_SCALPER,A_IFVG__HTF__BUF_0.15__TARGET_2_0R_BE_AT_1R,True,0.150000000,TARGET_2_0R_BE_AT_1R,76,76,0.447368421,0.500000000,0.131578947,3.952340859,4.878173719,0.810209125,10,19,4,43,0,24,19,26.403668346,14.030065569,165.420406428,2,0.585526316,0.750000000
