variant,trigger,direction,htf_bias,trigger_time_utc,entry_time_utc,entry_price,stop_loss,stop_distance_usd,target_price,outcome,result_r,exit_time_utc,duration_hours,zone_id
A_IFVG__HTF__BUF_0.10__TARGET_2_0R_BE_AT_1R,IFVG,BUY,BULLISH,2026-01-05 17:00:00,2026-01-05 17:15:00,4442.175000000,4426.738006741,15.436993259,4473.048986519,TIME_EXIT,0.308997997,2026-01-05 18:00:00,0.750000000,44
A_IFVG__HTF__BUF_0.10__TARGET_2_0R_BE_AT_1R,IFVG,BUY,BULLISH,2026-01-06 01:00:00,2026-01-06 01:15:00,4441.685000000,4427.005760475,14.679239525,4471.043479050,TIME_EXIT,1.194884787,2026-01-06 02:00:00,0.750000000,45
A_IFVG__HTF__BUF_0.10__TARGET_2_0R_BE_AT_1R,IFVG,BUY,BULLISH,2026-01-06 06:45:00,2026-01-06 07:00:00,4465.565000000,4458.076664599,7.488335401,4480.541670802,SL,-1.000000000,2026-01-06 07:45:00,0.750000000,61
A_IFVG__HTF__BUF_0.10__TARGET_2_0R_BE_AT_1R,IFVG,SELL,BEARISH,2026-01-06 12:00:00,2026-01-06 12:15:00,4461.858000000,4468.853159294,6.995159294,4447.867681412,TIME_EXIT,-0.471897760,2026-01-06 13:00:00,0.750000000,65
A_IFVG__HTF__BUF_0.10__TARGET_2_0R_BE_AT_1R,IFVG,BUY,BULLISH,2026-01-07 00:45:00,2026-01-07 01:00:00,4491.695000000,4482.990340402,8.704659598,4509.104319195,SL,-1.000000000,2026-01-07 01:00:00,0.000000000,76
A_IFVG__HTF__BUF_0.10__TARGET_2_0R_BE_AT_1R,IFVG,SELL,BEARISH,2026-01-07 06:15:00,2026-01-07 06:30:00,4454.725000000,4469.773367122,15.048367122,4424.628265756,TIME_EXIT,0.004651667,2026-01-07 07:15:00,0.750000000,91
A_IFVG__HTF__BUF_0.10__TARGET_2_0R_BE_AT_1R,IFVG,SELL,BEARISH,2026-01-07 11:45:00,2026-01-07 12:00:00,4447.505000000,4460.650504954,13.145504954,4421.213990092,TIME_EXIT,0.214521999,2026-01-07 12:45:00,0.750000000,100
A_IFVG__HTF__BUF_0.10__TARGET_2_0R_BE_AT_1R,IFVG,SELL,BEARISH,2026-01-07 12:30:00,2026-01-07 12:45:00,4449.558000000,4460.663117122,11.105117122,4427.347765755,BE,0.000000000,2026-01-07 13:30:00,0.750000000,101
A_IFVG__HTF__BUF_0.10__TARGET_2_0R_BE_AT_1R,IFVG,SELL,BEARISH,2026-01-07 17:15:00,2026-01-07 17:30:00,4458.475000000,4466.108663683,7.633663683,4443.207672634,TIME_EXIT,0.875857292,2026-01-07 18:15:00,0.750000000,111
A_IFVG__HTF__BUF_0.10__TARGET_2_0R_BE_AT_1R,IFVG,SELL,BEARISH,2026-01-07 19:00:00,2026-01-07 19:15:00,4449.435000000,4453.516643208,4.081643208,4441.271713583,BE,0.000000000,2026-01-07 19:30:00,0.250000000,113
A_IFVG__HTF__BUF_0.10__TARGET_2_0R_BE_AT_1R,IFVG,SELL,BEARISH,2026-01-08 01:15:00,2026-01-08 01:30:00,4454.535000000,4459.230296282,4.695296282,4445.144407436,TARGET,2.000000000,2026-01-08 01:45:00,0.250000000,122
A_IFVG__HTF__BUF_0.10__TARGET_2_0R_BE_AT_1R,IFVG,SELL,BEARISH,2026-01-08 01:30:00,2026-01-08 01:45:00,4447.348000000,4459.264460833,11.916460833,4423.515078334,TIME_EXIT,0.482777570,2026-01-08 02:30:00,0.750000000,121
A_IFVG__HTF__BUF_0.10__TARGET_2_0R_BE_AT_1R,IFVG,SELL,BEARISH,2026-01-08 08:30:00,2026-01-08 08:45:00,4420.965000000,4433.927976174,12.962976174,4395.039047652,SL,-1.000000000,2026-01-08 09:00:00,0.250000000,134
A_IFVG__HTF__BUF_0.10__TARGET_2_0R_BE_AT_1R,IFVG,SELL,BEARISH,2026-01-08 15:15:00,2026-01-08 15:30:00,4447.435000000,4458.380021089,10.945021089,4425.544957822,TIME_EXIT,-0.538144235,2026-01-08 16:15:00,0.750000000,127
A_IFVG__HTF__BUF_0.10__TARGET_2_0R_BE_AT_1R,IFVG,BUY,BULLISH,2026-01-08 17:45:00,2026-01-08 18:00:00,4463.175000000,4456.544822604,6.630177396,4476.435354791,SL,-1.000000000,2026-01-08 18:00:00,0.000000000,148
A_IFVG__HTF__BUF_0.10__TARGET_2_0R_BE_AT_1R,IFVG,BUY,BULLISH,2026-01-08 23:15:00,2026-01-08 23:30:00,4477.065000000,4472.838119255,4.226880745,4485.518761489,SL,-1.000000000,2026-01-08 23:45:00,0.250000000,157
A_IFVG__HTF__BUF_0.10__TARGET_2_0R_BE_AT_1R,IFVG,BUY,BULLISH,2026-01-09 01:30:00,2026-01-09 01:45:00,4462.295000000,4456.407677040,5.887322960,4474.069645919,TARGET,2.000000000,2026-01-09 02:00:00,0.250000000,153
A_IFVG__HTF__BUF_0.10__TARGET_2_0R_BE_AT_1R,IFVG,BUY,BULLISH,2026-01-09 02:15:00,2026-01-09 02:30:00,4471.995000000,4467.927863796,4.067136204,4480.129272407,SL,-1.000000000,2026-01-09 02:45:00,0.250000000,162
A_IFVG__HTF__BUF_0.10__TARGET_2_0R_BE_AT_1R,IFVG,BUY,BULLISH,2026-01-09 10:45:00,2026-01-09 11:00:00,4472.248000000,4467.727312583,4.520687417,4481.289374834,TIME_EXIT,0.619374830,2026-01-09 11:45:00,0.750000000,168
A_IFVG__HTF__BUF_0.10__TARGET_2_0R_BE_AT_1R,IFVG,BUY,BULLISH,2026-01-09 13:30:00,2026-01-09 13:45:00,4486.648000000,4460.919646137,25.728353863,4538.104707725,TIME_EXIT,0.033698231,2026-01-09 14:30:00,0.750000000,174
A_IFVG__HTF__BUF_0.10__TARGET_2_0R_BE_AT_1R,IFVG,BUY,BULLISH,2026-01-09 14:00:00,2026-01-09 14:15:00,4489.105000000,4457.701750496,31.403249504,4551.911499008,TIME_EXIT,0.227778976,2026-01-09 15:00:00,0.750000000,175
